req_id,description,implementation,api_endpoint,schema_field,bdd_tags,status
**DOC-ID**,RTM-THUNDERBLESSING-20260426,,,,,
**Product**,Thunder Blessing Slot Game,,,,,
**Version**,v1.0,,,,,
**Status**,DRAFT,,,,,
**Author**,AI Generated (gendoc D13-RTM),,,,,
**Date**,2026-04-26,,,,,
**Upstream Documents**,"PRD.md v0.1, EDD.md v1.3, API.md v1.0, SCHEMA.md v1.0, test-plan.md v1.0",,,,,
**Reviewers**,"QA Lead, Engineering Lead",,,,,
**Approver**,QA Lead,,,,,
Version,Date,Author,Summary,,,
v1.0,2026-04-26,AI Generated (gendoc D13-RTM),"Initial generation from PRD, EDD, API, SCHEMA, test-plan, and BDD feature files",,,
Req ID,Requirement Summary,EDD Section / Component,API Endpoint,Design Artifact (SCHEMA / Config),,
**US-SPIN-001**,"Base reel spin — 5×3 grid, P99 ≤ 500ms, Wild substitution, payline evaluation","§1.3: `SpinUseCase`, `SlotEngine.spin()`",`POST /v1/spin`,`spins` table (SCHEMA §2.2); `players` table (SCHEMA §2.1),,
US-SPIN-001 / AC-1,"Spin returns FullSpinOutcome within 500ms (extraBet OFF, no FG)","`SpinUseCase`, `SlotEngine.spin()`",`POST /v1/spin` → 200,"`spins.outcome_json`, `spins.total_win`",,
US-SPIN-001 / AC-2,"Balance < baseBet → error, no request issued",`SpinUseCase` balance check,`POST /v1/spin` → 400 INSUFFICIENT_FUNDS,`players.balance CHECK (balance >= 0)`,,
US-SPIN-001 / AC-3,Expired / missing JWT → 401,`JwtAuthGuard` (Fastify preHandler),`POST /v1/spin` → 401 UNAUTHORIZED,Supabase Auth JWT RS256,,
US-SPIN-001 / AC-4,"Concurrent spin blocked (button locked, 409 on 2nd request)",`ConcurrencyLockGuard` (Redis NX lock),`POST /v1/spin` → 409 SPIN_IN_PROGRESS,Redis `session:{id}:lock` key,,
US-SPIN-001 / AC-5,Wild substitutes all symbols except SC,"`SlotEngine.generateGrid()`, `CascadeEngine.detectWinLines()`",`POST /v1/spin`,`spins.outcome_json` (winLines),,
**US-CASC-001**,Cascade chain elimination + Lightning Mark generation + row expansion,"§1.3: `CascadeEngine`, `SlotEngine`",`POST /v1/spin`,"`spins.thunder_blessing_triggered`, `cascadeSequence` in response",,
US-CASC-001 / AC-1,"Win → Lightning Mark generated, symbols eliminated, rows expand 3→4, paylines 25→33","`CascadeEngine.runCascade()`, `expandRows()`, `generateLightningMarks()`",`POST /v1/spin`,"`cascadeSequence.steps[].newLightningMarks`, `cascadeSequence.steps[].rows`",,
US-CASC-001 / AC-2,"rows = 6 (MAX_ROWS) — no further expansion, cascade continues",`CascadeEngine.expandRows()` MAX_ROWS guard,`POST /v1/spin`,`finalRows` ≤ 6 enforced,,
US-CASC-001 / AC-3,New Main Game spin resets Lightning Marks and rows to 3,`SlotEngine.spin()` initialization,`POST /v1/spin`,Redis session cleared; `lightningMarks.count = 0`,,
US-CASC-001 / AC-4,Same payline wins not double-counted,`CascadeEngine.detectWinLines()` deduplication,`POST /v1/spin`,`cascadeSequence.steps[].winLines`,,
US-CASC-001 / AC-5,"3+ cascade steps — each CascadeStep records grid, wins, marks",`CascadeEngine.runCascade()` step tracking,`POST /v1/spin`,`cascadeSequence.steps[]` array,,
